"rest_id","rest_dollar","month","neg_label_rate_service","neg_label_rate_food","location"
21,"$$","2015-04",0.2,0,"austin"
21,"$$","2015-05",0.2,0,"austin"
21,"$$","2015-06",0.333333333333333,0.166666666666667,"austin"
21,"$$","2015-07",0.0909090909090909,0.181818181818182,"austin"
21,"$$","2015-08",0.0769230769230769,0.230769230769231,"austin"
21,"$$","2015-09",0.333333333333333,0.333333333333333,"austin"
21,"$$","2015-10",0,0,"austin"
21,"$$","2015-11",0,0,"austin"
21,"$$","2015-12",0.0909090909090909,0.0909090909090909,"austin"
21,"$$","2016-01",0.166666666666667,0.333333333333333,"austin"
21,"$$","2016-02",0.125,0,"austin"
21,"$$","2016-03",0,0.666666666666667,"austin"
21,"$$","2016-04",0,0,"austin"
21,"$$","2016-05",0.142857142857143,0.428571428571429,"austin"
21,"$$","2016-06",0.375,0.25,"austin"
21,"$$","2016-07",0.4,0.2,"austin"
21,"$$","2016-09",0,0,"austin"
21,"$$","2016-10",0,0.2,"austin"
21,"$$","2016-11",0,0,"austin"
21,"$$","2016-12",0.25,0.125,"austin"
21,"$$","2017-01",0,0.5,"austin"
21,"$$","2017-02",0,0.25,"austin"
21,"$$","2017-03",0.25,0.25,"austin"
21,"$$","2017-04",0.5,0.25,"austin"
21,"$$","2017-05",0.25,0.25,"austin"
21,"$$","2017-06",0,0.25,"austin"
21,"$$","2017-07",0.166666666666667,0,"austin"
21,"$$","2017-08",0.25,0.25,"austin"
21,"$$","2017-10",0,0.166666666666667,"austin"
21,"$$","2017-11",0.272727272727273,0.454545454545455,"austin"
21,"$$","2017-12",0,0.5,"austin"
21,"$$","2018-01",0.5,0,"austin"
21,"$$","2018-02",0.2,0.2,"austin"
21,"$$","2018-03",0,0.25,"austin"
21,"$$","2018-04",0,1,"austin"
21,"$$","2018-05",0,0,"austin"
21,"$$","2018-06",0.25,0,"austin"
21,"$$","2018-07",0,0,"austin"
21,"$$","2018-08",0,0,"austin"
21,"$$","2018-09",0,1,"austin"
21,"$$","2018-10",0,0.25,"austin"
21,"$$","2018-11",0,0,"austin"
21,"$$","2018-12",1,0,"austin"
21,"$$","2019-01",0,0,"austin"
21,"$$","2019-02",0,0,"austin"
21,"$$","2019-03",0,0,"austin"
21,"$$","2019-04",0,0.333333333333333,"austin"
21,"$$","2019-05",0.571428571428571,0.285714285714286,"austin"
22,"$$$","2014-05",0.166666666666667,0.5,"austin"
22,"$$$","2014-06",0,0.333333333333333,"austin"
22,"$$$","2014-07",0.333333333333333,0,"austin"
22,"$$$","2014-08",0.142857142857143,0,"austin"
22,"$$$","2014-09",0,0,"austin"
22,"$$$","2014-10",0.333333333333333,0,"austin"
22,"$$$","2014-11",1,1,"austin"
22,"$$$","2014-12",0,0,"austin"
22,"$$$","2015-01",0.166666666666667,0.166666666666667,"austin"
22,"$$$","2015-02",0.2,0.2,"austin"
22,"$$$","2015-03",0.285714285714286,0,"austin"
22,"$$$","2015-04",0,0.166666666666667,"austin"
22,"$$$","2015-05",0,0.25,"austin"
22,"$$$","2015-06",0,0.2,"austin"
22,"$$$","2015-07",0.25,0.25,"austin"
22,"$$$","2015-08",0.25,0,"austin"
22,"$$$","2015-09",0,0.2,"austin"
22,"$$$","2015-10",0,0.4,"austin"
22,"$$$","2015-11",0,0,"austin"
22,"$$$","2016-01",0,0,"austin"
22,"$$$","2016-02",0,0,"austin"
22,"$$$","2016-03",0,0,"austin"
22,"$$$","2016-04",0.166666666666667,0,"austin"
22,"$$$","2016-05",0.125,0.25,"austin"
22,"$$$","2016-06",0,0,"austin"
22,"$$$","2016-07",0.25,0,"austin"
22,"$$$","2016-08",0.5,0,"austin"
22,"$$$","2016-09",0.333333333333333,0,"austin"
22,"$$$","2016-10",0.2,0,"austin"
22,"$$$","2016-11",0.333333333333333,0,"austin"
22,"$$$","2016-12",0.4,0,"austin"
22,"$$$","2017-01",0,0.25,"austin"
22,"$$$","2017-02",0,0.166666666666667,"austin"
22,"$$$","2017-03",0.166666666666667,0.5,"austin"
22,"$$$","2017-04",0.142857142857143,0.285714285714286,"austin"
22,"$$$","2017-05",0.166666666666667,0.166666666666667,"austin"
22,"$$$","2017-06",0,0.333333333333333,"austin"
22,"$$$","2017-07",0,0,"austin"
22,"$$$","2017-08",0.25,0.25,"austin"
22,"$$$","2017-09",0,0.4,"austin"
22,"$$$","2017-10",0,0,"austin"
22,"$$$","2017-11",0,0.5,"austin"
22,"$$$","2017-12",0.4,0.4,"austin"
22,"$$$","2018-01",0.25,0.25,"austin"
22,"$$$","2018-02",0.2,0,"austin"
22,"$$$","2018-03",0,0,"austin"
22,"$$$","2018-04",0.25,0.25,"austin"
22,"$$$","2018-05",0,0,"austin"
